Candidate 0,Candidate 1,Accuracy,TPR (recall),TNR,PPV (precision),NPV,F1
Putin,Shoigu,71.3,63.6,78.9,75.1,68.4,0.6890000000000001
Putin,Don't know,66.1,66.7,65.5,65.9,66.3,0.6629999999999999
Putin,Don't know,63.9,48.9,78.9,69.9,60.7,0.575
Putin,Don't know,66.6,60.0,73.2,69.2,64.7,0.643
Putin,Against all,71.7,62.8,80.5,76.3,68.4,0.6890000000000001
Putin,Against all,71.7,68.4,75.0,73.3,70.4,0.708
Putin,Against all,74.1,74.7,73.5,73.8,74.4,0.743
Khodorkovsky,Shoigu,74.5,79.9,67.7,75.4,73.2,0.7759999999999999
Khodorkovsky,Shoigu,76.9,83.4,68.8,76.7,77.1,0.8
Khodorkovsky,Shoigu,76.2,79.5,72.2,77.9,74.1,0.787
Khodorkovsky,Don't know,71.6,82.3,58.5,71.0,72.8,0.762
Khodorkovsky,Don't know,71.3,80.4,60.0,71.2,71.3,0.755
Khodorkovsky,Don't know,73.3,82.8,61.4,72.6,74.4,0.774
Khodorkovsky,Against all,63.9,81.4,42.2,63.5,64.7,0.713
Khodorkovsky,Against all,63.3,93.6,25.9,60.9,76.9,0.738
Khodorkovsky,Against all,63.1,78.0,44.8,63.5,62.3,0.7
Shoigu,Don't know,58.3,54.7,61.9,59.0,57.8,0.568
Shoigu,Don't know,56.9,55.2,58.5,57.1,56.6,0.561
Shoigu,Don't know,60.9,57.3,64.5,61.8,60.2,0.595
Shoigu,Against all,78.8,87.4,70.3,74.6,84.8,0.805
Shoigu,Against all,77.6,82.2,72.9,75.2,80.4,0.7859999999999999
Shoigu,Against all,75.0,79.8,70.2,72.8,77.7,0.762
Don't know,Against all,72.7,79.3,66.1,70.1,76.2,0.7440000000000001
Don't know,Against all,71.9,79.8,63.9,68.9,76.0,0.7390000000000001
Don't know,Against all,68.6,76.2,60.9,66.1,71.9,0.708
